rok;diag_skupina;pocet
2010;Gastro a pečeň;54
2010;Hematológia;71
2010;Infekcie;49
2010;Iné zdravotné faktory;1
2010;Metabolické;18
2010;Ostatné/Neznáme;17
2011;Gastro a pečeň;90
2011;Hematológia;27
2011;Infekcie;35
2011;Iné zdravotné faktory;1
2011;Metabolické;14
2011;Novotvary;1
2011;Ostatné/Neznáme;15
2012;Gastro a pečeň;95
2012;Hematológia;21
2012;Infekcie;25
2012;Metabolické;13
2012;Ostatné/Neznáme;20
2013;Gastro a pečeň;74
2013;Hematológia;12
2013;Infekcie;46
2013;Metabolické;21
2013;Ostatné/Neznáme;14
2014;Gastro a pečeň;107
2014;Hematológia;11
2014;Infekcie;27
2014;Metabolické;13
2014;Novotvary;1
2014;Ostatné/Neznáme;10
2015;Gastro a pečeň;123
2015;Hematológia;20
2015;Infekcie;12
2015;Metabolické;36
2015;Novotvary;1
2015;Ostatné/Neznáme;11
2016;Gastro a pečeň;87
2016;Hematológia;22
2016;Infekcie;14
2016;Metabolické;35
2016;Novotvary;1
2016;Ostatné/Neznáme;14
2017;Gastro a pečeň;111
2017;Hematológia;5
2017;Infekcie;8
2017;Metabolické;19
2017;Ostatné/Neznáme;5
2018;Gastro a pečeň;72
2018;Hematológia;7
2018;Infekcie;4
2018;Metabolické;14
2018;Ostatné/Neznáme;6
2019;Gastro a pečeň;41
2019;Hematológia;8
2019;Infekcie;1
2019;Metabolické;2
2019;Ostatné/Neznáme;2
2020;Gastro a pečeň;19
2020;Hematológia;2
2020;Infekcie;4
2020;Metabolické;3
2020;Ostatné/Neznáme;3
2021;Gastro a pečeň;17
2021;Hematológia;3
2021;Metabolické;6
2021;Novotvary;1
2021;Ostatné/Neznáme;2
2022;Gastro a pečeň;13
2022;Hematológia;3
2022;Metabolické;1
2022;Ostatné/Neznáme;1
